#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
   0.0319254    -87.8812    -150.837    -44.7516     -31.635    -42.0209    -462.055     830.501    -128.802     685.447    -329.608    -455.957    -111.311     26.2535     8.75837     5.25817     6.45822     3.87678     2.77029      105.07    0.182883   0.0440345
   0.0333831     -90.168     -153.83    -45.1661    -32.6593    -42.0013    -488.192     884.599    -132.994     734.387    -349.124    -484.728    -119.463     27.5135     9.17771     5.50974     6.76744     4.06277     2.90269      105.04    0.175491   0.0419876
   0.0349073    -92.2473    -156.208    -45.4382    -33.6541    -41.8073     -515.63     942.629    -137.064      787.27     -370.15    -516.264    -128.816     28.8108     9.61033     5.77006     7.08645      4.2551     3.04087     105.028    0.180246   0.0454934
   0.0365011    -94.3766     -159.01    -45.5543    -34.6258    -41.4261    -546.234     1005.24    -141.043     844.764    -392.993    -551.179    -139.681     30.1609     10.0601     6.04021     7.41809     4.45392     3.18357     105.044    0.202231   0.0514926
   0.0381677    -96.4732    -161.838    -45.5464    -35.5828    -40.9016    -577.763     1069.42    -144.968     903.857     -416.27    -586.798    -150.773     31.5358     10.5169     6.31364     7.75495     4.65554     3.32643     105.039    0.213367   0.0514376
   0.0399104    -98.3493     -163.81    -45.4096    -36.5498    -40.2319    -608.403     1134.71    -148.934     964.137     -439.78    -622.752    -161.923     32.9527     10.9883     6.59628     8.10251     4.86398     3.47518     105.006    0.208461   0.0502668
   0.0417327    -100.217    -165.667     -45.078    -37.5616    -39.3374    -640.948     1205.07    -153.083     1029.57    -465.324    -662.571    -174.848     34.4943     11.5021     6.90537     8.48137     5.09185      3.6388     105.004    0.224643    0.057368
   0.0436381    -102.482     -168.99    -44.5383    -38.6361    -38.2065    -677.228     1279.69    -157.496     1099.38    -492.511    -705.524    -189.208     36.1739     12.0604      7.2402     8.89307     5.33876     3.81519     105.019    0.252598   0.0626638
   0.0456306    -105.152    -173.748    -43.8113    -39.7869     -36.865    -715.077     1354.66    -162.232     1169.75    -519.531    -748.115    -203.331     37.9637     12.6545      7.5961     9.33057     5.60072     4.00211     104.989    0.255155   0.0624269
    0.047714    -107.962    -178.762    -42.8009    -41.0443    -35.1982    -754.428     1434.09    -167.405      1244.8    -548.218    -793.957    -218.979     39.9475     13.3131     7.99136     9.81679     5.89264     4.21135     104.976    0.270018   0.0683975
   0.0498925    -111.022     -184.46    -41.4455    -42.4189    -33.1297    -796.352     1519.11    -173.073     1325.79    -579.049    -844.018    -236.645     42.1626     14.0474     8.43063     10.3583     6.21656     4.44179     104.994    0.305709    0.075645
   0.0521706    -114.741    -192.577    -39.7548    -43.9013    -30.6743    -840.911     1604.44    -179.203     1407.49    -609.536    -893.504    -254.044     44.5485     14.8354     8.90173     10.9393     6.56394     4.68949      104.96    0.312321   0.0766514
   0.0545526    -119.074    -203.027    -37.5938    -45.4888    -27.6613    -890.806     1695.67    -185.771     1495.58    -642.175    -947.335    -273.583     47.1778     15.7046     9.42383     11.5808     6.94891     4.96477     104.958    0.341036   0.0852181
   0.0570434     -123.49    -213.863    -34.9219    -47.1372      -24.04    -942.511     1791.19     -192.62     1588.59    -676.181    -1004.04    -294.601     50.0041     16.6358     9.97892     12.2669     7.35825      5.2556     104.962    0.376242   0.0925975
   0.0596479    -127.719    -224.298    -31.7241    -48.7871    -19.7916    -993.848     1888.04     -199.49      1683.6    -710.151    -1060.97    -315.859      52.935     17.6006     10.5554     12.9784      7.7827     5.55916     104.926    0.390198   0.0966119
   0.0623713    -131.857    -235.161    -27.8842    -50.3646     -14.769    -1049.91     1992.46    -206.084     1786.92    -746.938    -1123.74    -340.133     55.9742     18.5996     11.1509     13.7149     8.22195     5.87173     104.946    0.441992    0.109364
   0.0652191    -135.619    -245.797    -23.4913    -51.7554    -9.08354    -1106.77     2096.62    -211.938     1890.77    -782.994    -1185.53    -364.178     58.9056     19.5581      11.723     14.4217     8.64339     6.17185     104.905    0.457012    0.112827
   0.0681969    -138.077    -252.879    -18.4771     -52.869    -2.64804    -1163.82     2207.85     -216.65     2002.45    -821.765    -1253.12    -391.331     61.7001     20.4734     12.2686     15.0966     9.04658     6.45964     104.921       0.517    0.128476
   0.0713107    -138.604    -254.286    -13.0123    -53.5895     4.31977    -1214.93     2318.54    -219.752     2114.27    -859.943    -1320.13    -418.568     64.1222     21.2627     12.7366     15.6787      9.3912     6.70273     104.883     0.54425    0.134104
   0.0745666    -137.312    -250.729    -7.13324    -53.8634     11.7721    -1264.96     2434.89    -220.987     2232.33    -900.605    -1392.62    -448.856     66.1467     21.9256     13.1317     16.1675     9.68342     6.91177     104.896    0.609603    0.151019
   0.0779712    -134.335    -242.782    -1.08647    -53.6561     19.3949    -1311.33     2549.26    -220.215     2348.83    -940.544    -1464.37    -479.234     67.6143     22.4051     13.4163     16.5212     9.89288     7.06036     104.853    0.644408    0.159459
   0.0815313    -129.376    -228.814     5.04354    -53.0316     27.0792    -1354.27     2668.29     -217.67     2470.22    -983.104    -1541.93    -512.873     68.6402     22.7458     13.6219     16.7723     10.0445     7.16876     104.868    0.721014    0.178315
