#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
         0.05        0.105        0.075  1.04869e+07  1.14403e+08  6.19518e+07  7.26008e+07  1.07112e+07  3.59368e+08  4.37768e+08  5.27454e+08  4.69929e+08  8.63369e+08  1.04025e+09      69272.1
         0.05        0.105        0.095  3.70519e+06  7.68339e+07   3.5108e+07  4.35923e+07  9.51422e+06   3.3253e+08  3.12402e+08  4.03414e+08  4.73887e+08  6.16121e+08  7.95616e+08      69272.1
         0.05        0.125        0.075         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan      69272.1
         0.05        0.125        0.095  7.58734e+06  8.10859e+07  4.36785e+07  5.11501e+07  9.17304e+06  2.55094e+08  3.05301e+08  3.66146e+08  3.37713e+08  6.02117e+08  7.22115e+08      69272.1
         0.05        0.125        0.115   3.2549e+06  6.28416e+07  2.58547e+07   3.2262e+07  8.58182e+06  2.59521e+08  2.36503e+08  3.07834e+08  3.61717e+08  4.66432e+08  6.07111e+08      69272.1
         0.05        0.145        0.095       752117  2.52081e+07  7.48972e+07  7.48972e+07  8.82612e+06  8.22718e+07  3.28251e+08  3.28251e+08   6.8352e+07  6.47378e+08  6.47378e+08      69272.1
         0.05        0.145        0.115  5.85866e+06   6.0423e+07  3.22369e+07  3.79285e+07   8.2349e+06  1.86965e+08  2.27207e+08  2.72941e+08  2.43667e+08    4.481e+08  5.38296e+08      69272.1
         0.05        0.145        0.135  2.91047e+06  5.27054e+07  1.98383e+07  2.49492e+07  7.94931e+06  2.08598e+08  1.87561e+08  2.46223e+08  2.83432e+08  3.69909e+08  4.85603e+08      69272.1
         0.07        0.035        0.035  2.67914e+07  2.49467e+08  3.50994e+08  3.50994e+08  1.80308e+07   6.9635e+08   1.5383e+09   1.5383e+09   8.2529e+08  3.03384e+09  3.03384e+09      69272.1
         0.07        0.055        0.015    6.351e+07  3.93903e+08  3.51208e+08  3.51208e+08   1.8697e+07  8.87554e+08  1.53923e+09  1.53923e+09  9.21871e+08  3.03568e+09  3.03568e+09      69272.1
         0.07        0.055        0.035  1.12239e+07  1.89616e+08  1.21702e+08  1.45538e+08  1.56513e+07  7.83481e+08  9.33964e+08  1.15605e+09  1.17059e+09  1.84197e+09  2.27997e+09      69272.1
         0.07        0.055        0.055  4.06686e+06  1.24662e+08  8.02098e+07  9.99567e+07  1.32718e+07  6.64281e+08  6.77285e+08  8.56691e+08  1.03866e+09  1.33575e+09  1.68957e+09      69272.1
         0.07        0.075        0.005  4.69944e+07  2.86283e+08  2.03907e+08  2.03907e+08  1.37511e+07   6.4534e+08  8.93658e+08  8.93658e+08  7.11733e+08  1.76248e+09  1.76248e+09      69272.1
         0.07        0.075        0.025  6.49972e+06  1.52556e+08  1.05979e+08  1.30303e+08  1.66714e+07  7.12562e+08  9.39818e+08  1.21637e+09  1.07992e+09  1.85351e+09  2.39894e+09      69272.1
         0.07        0.075        0.045  3.18497e+06  1.06574e+08  7.45635e+07  9.23797e+07  1.30614e+07  5.77264e+08  6.40628e+08  8.17445e+08  9.19012e+08  1.26345e+09  1.61217e+09      69272.1
         0.07        0.075        0.065  2.24025e+06  9.02957e+07    6.022e+07  7.63563e+07   1.1718e+07  5.19862e+08  5.25697e+08  6.68985e+08  8.20196e+08  1.03678e+09  1.31938e+09      69272.1
         0.07        0.095        0.025  4.54783e+07  2.56128e+08  2.25408e+08  2.25408e+08  1.54744e+07  5.13873e+08  9.87892e+08  9.87892e+08  3.83285e+08  1.94833e+09  1.94833e+09      69272.1
         0.07        0.095        0.045  1.07122e+07  1.26306e+08  7.41904e+07  8.74201e+07  1.18644e+07  4.18602e+08  5.36899e+08  6.52222e+08  5.59629e+08  1.05888e+09  1.28632e+09      69272.1
         0.07        0.095        0.065  4.00587e+06  8.31408e+07  5.02609e+07  6.17438e+07   1.0521e+07  3.84435e+08   4.1729e+08  5.27304e+08  5.78348e+08  8.22982e+08  1.03995e+09      69272.1
         0.07        0.095        0.085  2.04079e+06   6.3198e+07  3.73635e+07  4.70805e+07  9.35583e+06  3.31957e+08  3.27841e+08  4.18967e+08  5.05258e+08  6.46571e+08   8.2629e+08      69272.1
         0.07        0.115        0.045  1.75892e+07  1.08047e+08  1.30198e+08  1.30198e+08  1.12732e+07  2.27097e+08  5.70617e+08  5.70617e+08  1.53382e+08  1.12537e+09  1.12537e+09      69272.1
         0.07        0.115        0.065  1.03495e+07  1.00325e+08  5.72009e+07  6.62189e+07  9.92974e+06  2.86426e+08  3.85708e+08  4.57326e+08  3.49516e+08  7.60695e+08  9.01942e+08      69272.1
         0.07        0.115        0.085   3.9111e+06  6.45828e+07  3.50857e+07  4.27117e+07  8.76461e+06  2.64889e+08   2.8541e+08  3.59073e+08  3.80445e+08  5.62888e+08  7.08166e+08      69272.1
         0.07        0.115        0.105  1.81872e+06  4.65158e+07  2.41572e+07  3.03501e+07  7.81297e+06  2.24184e+08  2.16334e+08  2.78823e+08  3.29267e+08  4.26655e+08  5.49897e+08      69272.1
         0.07        0.135        0.065  8.65256e+06  6.06797e+07  9.66355e+07  9.66355e+07  9.64415e+06  1.36193e+08  4.23522e+08  4.23522e+08  8.45263e+07  8.35273e+08  8.35273e+08      69272.1
         0.07        0.135        0.085  8.03316e+06  7.41182e+07  4.36258e+07  4.99746e+07  8.47902e+06  2.04421e+08  2.82519e+08  3.30141e+08   2.4652e+08  5.57185e+08  6.51105e+08      69272.1
