#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
        0.24    -103.351     12.9108     279.589    -63.5824     372.342     76.9202     471.988   -0.362051     615.719     13.6017     25.2168     11.3008   -0.195974     60.1032     51.2757     46.8379     39.9587     33.1959   -0.501313   -0.286164     3.04096
        0.25    -96.5153     19.7268     282.593    -61.8923     375.047     84.1158      467.25    0.332874     609.614     13.9562     26.0844     11.8146   -0.755487      60.592      51.705     47.2188     40.2932     33.4694    -0.50136   0.0409251     3.38517
        0.26    -88.4268     30.1851     285.045    -60.1539     377.115     91.9866     461.659    0.817868     602.434     14.2793     26.7653     12.2052    -1.18288     60.9259     51.9953      47.479     40.5194     33.6525   -0.505741  -0.0724357     3.62629
        0.27    -78.7578     45.2532     286.854    -58.3564     378.432     98.1763     455.723    0.725714     594.728     14.6077     27.4983     12.6516    -1.15652     61.0883     52.1261     47.6055     40.6213     33.7343   -0.506206  -0.0983297     3.89936
        0.28    -69.0687     60.8724     288.043    -56.5944     379.019     101.552     449.794    0.221718     587.166     14.8495     28.1829     13.0662   -0.772725     61.1766     52.1854     47.6743     40.6676     33.7726   -0.504727   -0.155827     4.17467
        0.29    -60.7849     73.4593     288.688    -54.9401     378.961      103.28     444.483   -0.238552     579.705     14.7176     28.0912     13.1229   -0.398109     61.2774     52.2585     47.7529     40.7245     33.8209   -0.493756    0.215394     4.57276
         0.3    -53.8986     82.5711     288.887    -53.3872     378.388     106.383     438.344   -0.349252     571.332     15.0693      28.948     13.6555   -0.320898     61.3926     52.3539     47.8427     40.7989     33.8828    -0.49788   -0.467347     4.70584
        0.32    -41.4834     99.2466     288.263    -50.4354     376.087      115.64     427.227   0.0710991     556.841     14.8001     28.6725     13.6998   -0.749352     61.5256     52.4754     47.9463     40.8937     33.9576   -0.472862   -0.135194     5.44765
        0.34    -29.8359     115.022     286.403    -47.6732     372.386     120.345     416.546   0.0226158      542.22     14.0393     27.3822     13.1811   -0.726318     61.5316     52.4727      47.951     40.8915      33.953   -0.434683    0.670209     6.35609
        0.36    -20.5123     126.063     283.594    -45.1599     367.632     120.837     405.373   -0.275553     527.115      13.552     26.5607     12.8964   -0.429994       61.52     52.4499      47.942     40.8736     33.9378   -0.405173    0.660228     7.09561
        0.38    -12.1397     136.007     280.094    -42.8109     362.137     124.399     393.725     -0.2274     511.661     13.3825      26.451     12.9819   -0.498631     61.4171     52.3617     47.8618     40.8049     33.8793   -0.390541   -0.447866     7.59303
         0.4    -4.49723     145.108      276.02     -40.617     356.037     127.039     382.602   -0.198561     496.779     12.9782     25.8178     12.7645   -0.537586     61.2444      52.212     47.7271     40.6883     33.7809   -0.367267    -1.11472     8.24783
        0.43     4.48305     153.811     269.159    -37.6516     346.114     126.279     367.979   -0.315533     476.736     11.5129      23.083     11.5431   -0.383559     60.9686     51.9671     47.5123     40.4974     33.6208   -0.307076   -0.533199     9.71882
        0.46     12.1172     160.982     261.729    -34.9757     335.634      125.64     355.098   -0.313263     458.682     9.47738     19.1464     9.68602   -0.364211      60.597     51.6456     47.2227     40.2469     33.4112   -0.227487     1.41185     11.6357
         0.5     19.8493     166.393     251.331    -31.8307     321.312     125.275     332.994   -0.360795     430.106     9.79113     19.9747     10.2311   -0.285018     60.0371     51.1625     46.7864     39.8704     33.0974   -0.232068    -2.41685     12.6664
        0.55     26.8552     169.359     238.134    -28.4547     303.449     123.662     307.665   -0.376809     397.379     9.96303      20.521     10.6199   -0.238295     59.2546     50.4915     46.1765     39.3475     32.6624   -0.234457    -6.18725     14.4563
        0.62     33.1994     168.865      220.12     -24.555     279.451     109.391     296.694   -0.373336     377.211   -0.338007    0.050609    0.451082  -0.0905553     58.1122     49.5038     45.2863     38.5778       32.02    0.129291     12.7976      23.719
         0.7     36.9996     163.875     200.869    -21.0042      254.16     106.911     258.085    -0.36774     329.592     3.28603     7.36393     4.16996   -0.084756      56.713     48.3108     44.1959     37.6481     31.2479 -0.00311669     2.37774     26.6183
        0.85     39.0949     150.078     169.601    -16.1305     213.594     95.1254     210.554   -0.331635     268.627     3.29797      7.4134     4.22457  -0.0528245     54.1275     46.1023      42.181     35.9271     29.8174  -0.0136112    0.698956     38.5603
           1     38.0502     134.982     144.293    -12.7708       181.1     83.3976     175.808   -0.295117     223.814     2.58031     5.96544     3.48662  -0.0260631     51.6901     44.0212     40.2816     34.3053     28.4697  0.00119683     1.91897      53.614
         1.2     34.9516     116.368     117.997    -9.70156     147.602     70.5525     140.552   -0.253034     178.698      2.2514     5.24131      3.0893  0.00384534      48.744     41.5074     37.9857     32.3463     26.8425 -0.000166455     2.71563     77.1559
         1.5      29.615     93.3249     89.8883    -6.81578     112.051     55.5816     104.592   -0.201136     132.759     1.83615     4.30919     2.56119   0.0288616     44.9728     38.2917     35.0469     29.8403     24.7615 -0.000145069     4.24536     120.634
           2     22.0608     66.1129     60.7068    -4.19166      75.381     38.6177     69.0782   -0.117692     87.4869     1.11468     2.63522      1.5769   0.0360253     40.0219     34.0719     31.1887     26.5519      22.031 -0.000316833      7.0072     213.861
           4     8.68876     24.2438     20.4203    -1.17128     25.1837     13.7559     22.2065  -0.0420861     28.0174    0.411243     0.98444    0.596162   0.0515996     28.6897     24.4186     22.3576     19.0292     15.7872 3.97419e-05     36.1723     863.231
          10      1.0336     2.89802     2.35092   -0.133402      2.9016     53.5393    -101.187  -0.0256785    -100.538     52.0152     104.118     52.1147   -0.106991     9.16494     7.66254     7.14215     5.97134      4.8945    -1.83281      -499.9     2089.35
