#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
        0.21    -36.9218     86.0567     77.9509    0.304415     101.203     73.1521    -2.24593  -0.0755483    -3.29401   -0.541427   -0.965478   -0.412607   0.0393145   -0.492127     17.8245   -0.388235     14.0616      19.352   0.0562616     0.12945   0.0239564
        0.22    -29.2276     88.9257     77.9293   0.0673809      101.08     70.5121    -1.89113  -0.0238397    -2.89414    -0.63135     -1.1318   -0.486007  0.00359468   -0.296888      17.915   -0.234247      14.133     19.3788   0.0609709 -0.00993585  -0.0142824
        0.23    -23.6376     91.6649     77.8663   -0.038787     100.909     69.2735    -1.40526 -0.00596153    -2.35293   -0.760921    -1.37226   -0.594005  -0.0103622   -0.212415     18.0279   -0.167579     14.2221     19.4697   0.0675038  -0.0434516  -0.0246754
        0.24    -19.7309     95.8426     77.6953   0.0220456     100.606     69.9969   -0.686988  -0.0456824      -1.566   -0.990244    -1.81474    -0.80717   0.0219265   -0.288927     18.1404   -0.227913     14.3108     19.6188   0.0782118    0.181351   0.0327812
        0.25    -16.2104     101.085     77.3609     0.14839     100.097     71.7132   -0.441357   -0.114833    -1.26938    -1.03248    -1.88817   -0.837759   0.0802858   -0.437899     18.2237   -0.345448     14.3766     19.7628   0.0798439   -0.149455   -0.055939
        0.26    -12.3678     105.328      76.865    0.208778     99.3848      72.167    0.270941    -0.15483   -0.528579    -1.29789    -2.40024    -1.07501    0.122442   -0.520863     18.2832   -0.410906     14.4235     19.8572   0.0918694    0.175899   0.0278125
        0.27    -8.46004     107.036     76.2738    0.157629     98.5509     71.1208    0.590347   -0.134129   -0.203257    -1.38106    -2.55243    -1.14971    0.111209   -0.481192     18.3429    -0.37961     14.4706     19.9071   0.0953492 -0.00803228  -0.0223037
        0.28    -4.96427     106.751     75.6595   0.0483424     97.6896      69.098     1.02757  -0.0741614   0.0316721    -1.52688    -2.84176    -1.28663   0.0624143   -0.369388     18.4136   -0.291408     14.5264     19.9422    0.101265  -0.0148712  -0.0257952
        0.29    -1.98381      106.58     75.0502   -0.031386     96.8374     67.3987     1.60778  -0.0311876    0.883213      -1.722    -3.22789    -1.47667   0.0255487    -0.28535      18.478   -0.225111     14.5771     19.9806    0.109922    0.179953   0.0237538
         0.3    0.823843     107.831      74.419  -0.0425325     95.9655     66.8316     1.80597  -0.0392978      1.0005    -1.73487    -3.24703    -1.48356   0.0332652   -0.281624     18.5124   -0.222172     14.6043     20.0165    0.110379  -0.0957477  -0.0500865
        0.32     6.32968     112.863     72.9868   0.0200407     94.0094      66.556     2.63702   -0.127575      2.0853    -2.00215    -3.76889     -1.7435    0.129244   -0.378862     18.5068   -0.298874     14.5999      20.047    0.120211   0.0351596   -0.018249
        0.34      10.708     113.685     71.3894  -0.0139441      91.852     64.7447     3.25645   -0.103777     2.79604     -2.1711    -4.12119     -1.9135    0.112609   -0.344693     18.5222   -0.271944      14.612      20.051    0.126894    0.164403     0.01351
        0.36     13.9855     112.794     69.7731  -0.0637918     89.6818     62.7933     3.61288  -0.0531426     3.22005    -2.22844    -4.22547    -1.97054   0.0582879   -0.282216     18.5414   -0.222639     14.6272     20.0483    0.127696    0.135718  0.00428361
        0.38     17.2876      113.79     68.1242  -0.0600781     87.4837     61.4804     3.70526  -0.0860845     3.36432    -2.18925    -4.15668    -1.93679   0.0985152   -0.295526     18.4998   -0.233103     14.5944     20.0091    0.124151    0.040701  -0.0220459
         0.4       20.06     113.822     66.4331   -0.066985     85.2414     60.0256      3.6969  -0.0932032     3.40355    -2.09901    -3.98793    -1.86439    0.108343   -0.288846     18.4503   -0.227872     14.5552     19.9535    0.118669   0.0137955  -0.0304999
        0.43     23.0603     112.227     63.9122  -0.0882521     81.9046     57.9681     3.43183  -0.0612008     3.19563    -1.86024    -3.52678    -1.64328   0.0631684   -0.256426     18.3769   -0.202305     14.4974     19.8623    0.106625   0.0257366  -0.0292728
        0.46     25.6432     110.994     61.4296  -0.0935548     78.6261     55.9244      3.0494  -0.0718014     2.86678     -1.5791    -2.98482    -1.37927   0.0742917   -0.247592     18.2635   -0.195324      14.408     19.7373   0.0923934    0.141855 0.000278258
         0.5      27.931      108.03     58.2186   -0.105363     74.4299     53.5665     1.91787  -0.0595359     1.82047   -0.926963    -1.69591   -0.749728    0.044999   -0.221616     18.1035   -0.174831     14.2817     19.5553   0.0622172   -0.256677   -0.101901
        0.55     29.7764     104.041     54.4191   -0.111059     69.4736     51.1044  -0.0448264  -0.0539996  -0.0720343    0.148743     0.43189    0.298927   0.0209723   -0.202209     17.8729   -0.159519     14.0998     19.2998   0.0146606    -1.50146   -0.423514
        0.62     30.9887      98.059     49.5551   -0.111928     63.1462     44.5202     4.38134   -0.050571     4.41801    -1.94917    -3.76926    -1.80267   0.0372242   -0.168406     17.5313   -0.132864     13.8303     18.9205    0.100178     5.40792     1.39753
         0.7     31.0473     90.9255     44.6229   -0.110564     56.7628     41.8099    0.752546  -0.0449961    0.845428  -0.0510183   0.0159183   0.0820363   0.0102481   -0.148171     17.1195   -0.116891     13.5054     18.4698   0.0190798      1.1473    0.288263
        0.85     29.4706      78.572     37.0012   -0.101061     46.9466     35.3835   -0.446376  -0.0385633   -0.302563    0.642976     1.39507    0.766396  0.00443223   -0.118851     16.3488  -0.0937612     12.8974     17.6301  -0.0123297   -0.697303   -0.190333
           1     27.0705     68.0122     31.0782  -0.0903134     39.3536      29.456    0.372166  -0.0333935    0.536841    0.261847    0.623076    0.374837   0.0114269  -0.0977739      15.617  -0.0771332     12.3201     16.8355  0.00163539    0.109252   0.0242838
         1.2     23.7429     56.5688     25.1095  -0.0775037     31.7305     23.8342    0.394009  -0.0277367    0.563061    0.252908    0.593286     0.35205   0.0129831  -0.0762488     14.7306  -0.0601945     11.6209     15.8743 7.76085e-05  0.00493147  0.00590768
         1.5     19.3484     43.8709     18.8958  -0.0613148     23.8233     17.9549    0.430768  -0.0212698    0.591244    0.197485    0.466117    0.278565   0.0149945  -0.0566871      13.593  -0.0447201     10.7234     14.6434 3.14439e-05 -0.00754466 -0.00256281
           2     13.9304     30.1374     12.5783  -0.0384398     15.8149     11.9849    0.346062  -0.0145297    0.462538    0.134682    0.321566    0.193958   0.0160239  -0.0405249     12.0971  -0.0319662     9.54335     13.0285  8.7914e-05  0.00544711   -0.113295
           4     5.20823      10.436     4.11296  -0.0115021     5.14732     3.93287    0.144954 -0.00506146    0.189394   0.0502597    0.120509   0.0733756   0.0158321   -0.012123     8.66977 -0.00956375     6.83951     9.33123 0.000110233     0.18816     1.33053
          10    0.659586     1.34154    0.576433 -0.00972871    0.721286    -27.8614     56.9373 -0.00326178     56.9771    -28.3571    -56.6968    -28.3372    0.268767    0.339718     3.03178    0.268001     2.39174     3.14424     1.18423     126.408    -13.7343
