#          k           1          b1       b1*b1
      0.0005     163.376 2.42233e-08 2.39438e-08
       0.001     313.306 2.59565e-07 3.42816e-07
       0.004      1030.1 -0.000112081 2.41698e-05
       0.007      1494.8 -0.00196864 1.46584e-05
        0.01     1776.75 -0.00990734 -0.000744248
        0.02     1931.11   -0.160957   -0.019706
        0.03      1573.6   -0.401481   -0.025312
        0.04     1208.25   -0.392332   0.0469987
        0.05     986.843    -0.19591    0.137754
        0.06      868.89   -0.276724   0.0925928
        0.07     771.789   -0.591633  -0.0698454
        0.08     654.921   -0.234188  -0.0649361
        0.09     534.764     1.28014    0.268717
         0.1     443.201     2.81577    0.619901
        0.11     389.654     2.60989    0.499697
        0.12     359.442    0.250321   -0.192598
        0.13     331.749    -2.44387   -0.942381
        0.14     296.301    -2.96372     -1.0781
        0.15     257.686    -1.05429   -0.547925
        0.16     225.485    0.810453  0.00867475
        0.17     203.631  -0.0309631  -0.0607137
        0.18     189.165    -3.76367   -0.777937
        0.19     176.663    -8.05668    -1.58255
         0.2     162.592    -9.98748    -1.84449
        0.21     147.559    -8.98172    -1.47062
        0.22     133.775    -7.32019   -0.917216
        0.23     122.547    -7.36894   -0.619684
        0.24     113.602     -9.8066   -0.674622
        0.25     105.777    -13.3216   -0.849588
        0.26     98.3225    -15.7106   -0.844869
        0.27     91.0272    -16.1459   -0.576751
        0.28     84.2144    -15.3373   -0.154205
        0.29     78.1073    -14.8533    0.275325
         0.3     72.5791    -15.6617    0.663141
        0.32     62.8862    -18.7882     1.37618
        0.34     54.6436    -19.3481     1.95972
        0.36     47.6297    -19.0848     2.40722
        0.38     41.4176    -20.1503     2.82756
         0.4     36.0648    -20.7546     2.86669
        0.43     29.4316    -20.8657     2.20892
        0.46     23.9364    -21.3644     1.11342
         0.5     18.1677    -21.6392    -1.00681
        0.55     13.0504    -21.2432    -3.63295
        0.62     10.1806    -15.0217    -4.82584
         0.7     8.29011    -9.95698    -4.27144
        0.85     6.88843    -2.29722    -1.26425
           1     5.28931  -0.0697202  -0.0702232
         1.2     3.48528   0.0194442 -0.00728216
         1.5      2.0556   0.0113631 -0.00368017
           2     1.02356 -0.00385957 -0.00351639
           4    0.173024 -0.00870014 -0.00187007
          10   0.0278675   0.0166868 0.000514308
