#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
      0.0005  -0.0031151   0.0272903  -0.0339407 -0.000983265  -0.0339265     1.08549    -2.42298 -0.00364261    -2.56541     1.24468     2.90117      1.3502 0.000574875 0.000201257 0.000123231  0.00015877  9.7216e-05 7.02154e-05         105  -0.0193962 -0.00509895
       0.001  -0.0225107   0.0866848   -0.135318 -0.00715158   -0.135334  -0.0939783    -1.17175  -0.0266565    -1.12362    0.384285    0.797808    0.844438  0.00450535  0.00153862 0.000932627  0.00121381 0.000735742 0.000528485     104.999  -0.0525269  -0.0138057
        0.23    -37.2538    -24.9873     90.2604    -28.3694     121.885    -1707.59     3715.58    -108.861     3651.55    -1465.48    -2636.78    -1133.26     84.0841      27.827     16.6573     21.9525     13.1408     9.37665     104.168     6.19195     1.63248
        0.24    -34.9784    -22.2245     91.8969     -27.619     123.483     -1738.5     3775.45    -106.084     3714.97    -1497.17    -2705.56    -1170.93     84.9699     28.0897     16.8075     22.1598     13.2593     9.45911     104.076     4.05938     1.07179
        0.25    -33.2236    -21.3632     93.3605    -26.9447     124.888    -1773.27      3836.4    -103.729     3779.43     -1529.9     -2776.5    -1209.69     86.0948     28.3934     16.9729     22.3994     13.3898     9.54741     104.089     8.33788     2.19693
        0.26    -30.8578    -18.0803     94.6372    -26.2084     126.084    -1799.84     3888.12    -101.048      3834.5    -1558.01    -2838.13    -1243.73     86.7802     28.5732     17.0693     22.5412     13.4659     9.59836     103.986     5.35613       1.413
        0.27    -27.8153    -11.7886      95.666    -25.3956     126.995    -1821.61      3940.4    -97.8834     3890.01    -1586.94    -2901.43    -1278.73     86.9123     28.6241     17.1014     22.5813     13.4911     9.61682     103.972     7.84909     2.06872
        0.28    -24.7169    -4.73253     96.4274     -24.576     127.588     -1838.8     3987.72    -94.5722     3940.58     -1613.8    -2960.61    -1311.61      86.732     28.6095      17.103     22.5698     13.4924     9.62079      103.93     8.57986     2.26114
        0.29     -22.148    0.732483       96.94     -23.821     127.887    -1855.54     4029.91    -91.5423     3985.13    -1638.43    -3015.26    -1342.23     86.6349     28.6149      17.115     22.5741     13.5019     9.63008     103.854     7.09242     1.87033
         0.3    -20.1281     4.07256     97.2765    -23.1429      127.98    -1876.35     4073.13    -88.9254     4030.95    -1663.91    -3071.51    -1373.61     86.8071     28.6734     17.1505     22.6202     13.5299      9.6502     103.861     10.6996     2.81939
        0.32     -16.601     9.26157     97.5583    -21.8907     127.733     -1915.1     4146.76    -84.2693     4109.07    -1708.82    -3171.65    -1430.05     87.3007     28.7794     17.2013     22.7039       13.57     9.67528     103.763     10.6372      2.8042
        0.34    -13.0547     15.6608     97.3647    -20.6747     126.952    -1945.59     4211.39    -79.5672     4177.81    -1749.64    -3263.27    -1481.99     87.2298     28.7623     17.1923     22.6904     13.5629     9.67052     103.667     10.4416     2.75439
        0.36      -10.14     20.7143     96.7634    -19.5574     125.716    -1973.72        4270    -75.1865     4240.02    -1787.81    -3349.06    -1530.78     87.0221     28.7237     17.1754     22.6599     13.5496     9.66271     103.609      12.176     3.21253
        0.38    -7.61777     24.5796     95.8686    -18.5374     124.162    -2001.65     4323.08    -71.2962     4296.29    -1823.38    -3428.78    -1576.53     86.9374     28.6817     17.1476     22.6268     13.5276     9.64633     103.576     15.2108      4.0129
         0.4    -5.30325     28.2781     94.7391    -17.5824     122.359    -2026.05     4370.05    -67.6324     4346.12    -1855.88    -3502.89    -1618.73      86.703     28.5999     17.0976     22.5622     13.4882     9.61789     103.536     17.4194     4.59615
        0.43    -2.50959     32.3991      92.712    -16.2834      119.31    -2058.29     4430.55    -62.6034     4410.32    -1899.53    -3602.36    -1676.05     86.2057     28.4504     17.0108     22.4443     13.4197     9.56972      103.46     19.2811     5.08963
        0.46   -0.138096     35.7365     90.4185    -15.1183     115.992     -2086.9     4482.04    -58.1292     4464.94    -1938.37    -3691.29    -1727.57     85.6574     28.2666     16.9003     22.2993     13.3325      9.5073     103.387     20.7657     5.48465
         0.5     2.33184     38.8847     87.1136    -13.7466     111.354    -2121.47     4542.71    -52.8407     4529.07    -1985.52    -3799.26    -1790.15     84.8083     27.9942     16.7386     22.0844      13.205      9.4166     103.365     26.6679     7.04502
        0.55     4.60078     41.2561     82.8126     -12.278     105.461    -2158.08     4603.68    -47.1853     4593.42     -2035.7    -3914.82     -1857.5      83.656     27.6196     16.5155     21.7889     13.0289     9.29115     103.331     32.7637     8.66071
        0.62     6.73369     42.7237     76.8159    -10.5843      97.414     -2198.7     4666.74    -40.6721     4659.99    -2092.23     -4046.1    -1934.66     81.9316     27.0526     16.1765     21.3416     12.7615     9.10034     103.235     37.4968     9.92361
         0.7     8.13208     42.6594     70.3182     -9.0442     88.8415    -2237.84     4724.45     -34.747     4720.48    -2146.13    -4171.19    -2008.17      79.938     26.3977     15.7853     20.8249     12.4529     8.88034     103.244     50.0304     13.2431
        0.85     9.17536     40.3533     59.6107     -6.9352     74.9256    -2290.88     4795.49    -26.6377     4794.63    -2219.89    -4343.59    -2110.17     76.2506     25.1799     15.0551     19.8627     11.8769     8.46928     103.236     73.9229     19.5718
           1     9.20997     37.0295     50.8466    -5.48371     63.6742    -2327.64     4839.65    -21.0581     4840.38     -2271.3    -4464.41    -2182.04     72.7837     24.0336     14.3709     18.9599     11.3371     8.08431     103.237     102.625     27.1691
         1.2     8.65447     32.4882     41.6724    -4.15952     51.9982    -2361.38     4875.75    -15.9686     4877.47    -2318.66    -4576.26    -2248.91     68.5936     22.6496     13.5431     17.8681      10.684     7.61856     103.236     147.859     39.1489
         1.5     7.46091     26.4466     31.8091    -2.91709     39.5432    -2393.74     4905.71    -11.1949     4907.88    -2363.85    -4683.44    -2313.27     63.2455     20.8831     12.4865     16.4745      9.8505     7.02404     103.237     231.425     61.2758
           2     5.62804     18.9512     21.5331     -1.7925     26.6593    -2423.94     4928.65     -6.8858     4930.72    -2405.41     -4782.5    -2373.02     56.2543     18.5719     11.1036     14.6512     8.75958     6.24584     103.236     411.101     108.786
           4     2.25552     7.08589     7.26084   -0.498967     8.92786    -2460.14     4948.12    -1.91027     4949.16    -2455.02    -4901.47    -2445.21     40.2564     13.2881     7.94387     10.4829     6.26686     4.46816     103.237     1653.38     438.507
          10    0.264029      0.8336    0.804121  -0.0534427    0.989408    -1297.22     2597.67   -0.205057     2597.79    -1296.72    -2592.48    -1295.63      13.104     4.14494     2.43553     3.26991     1.92137     1.35748     54.1717     4583.91     1097.82
