0.355046  2250.44  536.601  295.113  616.909  3208.67  5312.77  72.5415  14.3492  60.4463  11.5305  62.7262  101.953  2.63335  0.91835  4.69939
0.365046  2138.27  483.968  314.118  568.466  2952.19  4887.39  60.7911  16.1119  48.6491  10.383  56.3762  91.6104  2.18601  0.936946  4.04114
0.375044  2032.37  432.355  301.571  525.209  2717.4  4500.2  50.3163  13.6284  22.6271  9.37944  50.6306  82.2846  1.79419  0.819236  2.95424
0.385042  1936.78  388.378  321.315  487.009  2517.34  4165.76  41.9303  15.6781  15.3377  8.51464  45.9025  74.5041  1.49168  0.838835  2.54444
0.395042  1844.67  351.983  321.394  452.469  2334.96  3871.29  35.7229  15.1065  5.87385  7.74229  41.6543  67.7652  1.25787  0.802093  2.06315
0.405042  1762.84  303.799  314.319  421.858  2169.84  3598.18  28.6586  13.7242  -6.4784  7.0835  37.8855  61.6492  1.00404  0.723536  1.49354
0.415041  1682.7  279.608  308.252  393.904  2022.57  3353.51  24.4356  12.6986  -12.3566  6.48551  34.6031  56.2962  0.855079  0.667772  1.20601
0.425039  1605.68  242.044  313.511  368.446  1889.29  3132.41  19.8481  13.0958  -20.1719  5.95276  31.69  51.5289  0.690918  0.657445  0.835836
0.435038  1534.43  204.552  311.067  345.449  1766.4  2934.95  15.538  11.8686  -25.1196  5.47854  29.0304  47.3754  0.541127  0.605243  0.585977
0.445037  1467.55  179.672  313.705  324.544  1657.36  2753.43  12.55  11.6991  -27.6747  5.05638  26.7258  43.5912  0.439627  0.571106  0.416359
0.455037  1402.07  151.024  309.63  305.281  1556.01  2586.33  9.58353  11.1387  -32.8421  4.67358  24.6275  40.1998  0.341083  0.540672  0.194927
0.465037  1342.31  122.512  310.286  287.823  1464.51  2436.4  7.08075  10.6953  -35.1856  4.33384  22.7614  37.2118  0.254541  0.509975  0.0387978
0.475036  1283.18  105.107  317.947  271.635  1381.27  2296.75  5.57185  10.5939  -36.3901  4.02309  21.1237  34.4864  0.203352  0.502454  -0.0476672
0.485034  1231.12  88.5707  301.965  257.022  1304.39  2170.32  4.15971  9.33294  -37.6712  3.74994  19.6094  32.0516  0.156605  0.445165  -0.146401
0.495033  1181.1  66.3616  309.625  243.517  1234.94  2056.69  2.57639  9.57531  -36.7505  3.50004  18.2821  29.9278  0.104771  0.442557  -0.171067
0.505032  1126.88  45.1868  308.511  230.631  1167.75  1945.02  1.10743  9.11129  -39.7123  3.26126  16.9834  27.8043  0.0586443  0.415356  -0.302229
0.515032  1086.51  27.0527  315.295  219.391  1110.23  1849.57  0.0503599  9.23977  -39.8763  3.06412  15.9468  26.1153  0.0243233  0.414041  -0.339505
0.525032  1040.85  8.7711  326.597  208.548  1055.11  1756.53  -0.994258  9.65142  -39.529  2.87174  14.943  24.4296  -0.00733753  0.416348  -0.362295
