       2.084838979397e-07       7.135629809807e-01 
       2.624656770662e-07       8.904761881081e-01 
       3.304247105823e-07       1.111251372221e+00 
       4.159800648368e-07       1.386763203490e+00 
       5.236878744229e-07       1.730582502907e+00 
       6.592839729594e-07       2.159644694101e+00 
       8.299893471473e-07       2.695083988766e+00 
       1.044894680642e-06       3.363274385524e+00 
       1.315444466109e-06       4.197128762913e+00 
       1.656046466189e-06       5.237720053485e+00 
       2.084838979397e-06       6.536304344546e+00 
       2.624656770662e-06       8.156845551544e+00 
       3.304247105823e-06       1.017916600365e+01 
       4.159800648368e-06       1.270287809263e+01 
       5.236878744229e-06       1.585229057726e+01 
       6.592839729594e-06       1.978253108780e+01 
       8.299893471473e-06       2.468718611900e+01 
       1.044894680642e-05       3.080783433583e+01 
       1.315444466109e-05       3.844594170458e+01 
       1.656046466189e-05       4.797770234440e+01 
       2.084838979397e-05       5.987255202540e+01 
       2.624656770662e-05       7.471625824508e+01 
       3.304247105823e-05       9.323970835095e+01 
       4.159800648368e-05       1.163547824794e+02 
       5.236878744229e-05       1.451990165689e+02 
       6.592839729594e-05       1.811911338146e+02 
       8.299893471473e-05       2.260999410114e+02 
       1.044894680642e-04       2.821295153424e+02 
       1.315444466109e-04       3.520239667194e+02 
       1.656046466189e-04       4.391951782953e+02 
       2.084838979397e-04       5.478764757387e+02 
       2.624656770662e-04       6.833035878584e+02 
       3.304247105823e-04       8.519207005375e+02 
       4.159800648368e-04       1.061602988645e+03 
       5.236878744229e-04       1.321877642148e+03 
       6.592839729594e-04       1.644115047092e+03 
       8.299893471473e-04       2.041652279811e+03 
       1.044894680642e-03       2.529787320416e+03 
       1.315444466109e-03       3.125491938586e+03 
       1.656046466189e-03       3.846549382512e+03 
       2.084838979397e-03       4.709874602442e+03 
       2.624656770662e-03       5.728795356195e+03 
       3.304247105823e-03       6.908970090231e+03 
       4.159800648368e-03       8.242938106704e+03 
       5.236878744229e-03       9.702727208825e+03 
       6.592839729594e-03       1.123108250956e+04 
       8.299893471473e-03       1.273201076924e+04 
       1.044894680642e-02       1.406145379342e+04 
       1.315444466109e-02       1.502235453430e+04 
       1.656046466186e-02       1.537474721395e+04 
       2.084838963695e-02       1.488512031898e+04 
       2.624644644028e-02       1.344947921979e+04 
       3.302548774608e-02       1.128891229800e+04 
       4.102681708262e-02       9.139918696170e+03 
       4.779841569581e-02       7.912413090374e+03 
       5.270484985844e-02       7.312707467477e+03 
       5.674676211648e-02       6.940198965701e+03 
       6.035365518507e-02       6.659455989041e+03 
       6.371663049379e-02       6.414121869677e+03 
       6.693668310150e-02       6.175924214792e+03 
       7.007430501662e-02       5.929836724293e+03 
       7.316919896329e-02       5.668697224963e+03 
       7.624932799173e-02       5.390817774823e+03 
       7.933554350836e-02       5.098620160992e+03 
       8.244415507857e-02       4.797572261771e+03 
       8.558845225326e-02       4.495179421473e+03 
       8.877965346729e-02       4.199942959271e+03 
       9.202752308265e-02       3.920335176154e+03 
       9.534078676015e-02       3.663847225474e+03 
       9.872741918657e-02       3.436197863594e+03 
       1.021948481285e-01       3.240748584399e+03 
       1.057501019285e-01       3.078146898010e+03 
       1.093999177249e-01       2.946189198774e+03 
       1.131508217378e-01       2.839904392941e+03 
       1.170091892768e-01       2.751897505593e+03 
       1.209812897791e-01       2.673028997468e+03 
       1.250733206621e-01       2.593516024225e+03 
       1.292914327760e-01       2.504441197591e+03 
       1.336417495747e-01       2.399469047376e+03 
       1.381303816804e-01       2.276352094234e+03 
       1.427634382239e-01       2.137684929309e+03 
       1.475470361481e-01       1.990487184568e+03 
       1.524873085360e-01       1.844558601868e+03 
       1.575904129460e-01       1.710023305514e+03 
       1.628625406846e-01       1.594783421344e+03 
       1.683099279180e-01       1.502582140741e+03 
       1.739388695030e-01       1.432095699635e+03 
       1.797557364033e-01       1.377212286687e+03 
       1.857669975510e-01       1.328574909762e+03 
       1.919792470059e-01       1.276333502021e+03 
       1.983992372710e-01       1.213552155247e+03 
       2.050339196333e-01       1.138945512455e+03 
       2.118904924331e-01       1.057372768383e+03 
       2.189764582222e-01       9.774820188589e+02 
       2.262996908693e-01       9.075948968372e+02 
       2.338685138170e-01       8.519466134600e+02 
       2.416917909143e-01       8.090150689185e+02 
       2.497790315488e-01       7.725703711288e+02 
       2.581405122260e-01       7.350768561712e+02 
       2.667874173027e-01       6.919573438533e+02 
       2.757320023374e-01       6.441457904339e+02 
       2.849877845127e-01       5.969128336207e+02 
       2.945697659031e-01       5.557220649668e+02 
       3.044946971038e-01       5.223125674584e+02 
       3.147813910593e-01       4.938549789717e+02 
       3.254511000456e-01       4.656479883982e+02 
       3.365279729899e-01       4.351903622907e+02 
       3.480396161064e-01       4.040178443213e+02 
       3.600177878942e-01       3.755091264685e+02 
       3.724992709145e-01       3.511007896921e+02 
       3.855269790639e-01       3.290476386348e+02 
       3.991513828208e-01       3.068953711228e+02 
       4.134323702191e-01       2.844787642329e+02 
       4.284417147637e-01       2.635348233301e+02 
       4.442664043036e-01       2.447577221801e+02 
       4.610132163264e-01       2.269268036247e+02 
       4.788151395007e-01       2.092334435967e+02 
       4.978406016169e-01       1.924125540104e+02 
       5.183070906057e-01       1.767659802080e+02 
       5.405018871615e-01       1.615699988022e+02 
       5.648147627152e-01       1.468351983988e+02 
       5.917917278401e-01       1.327582387740e+02 
       6.222277838459e-01       1.189492256189e+02 
       6.573364232616e-01       1.054376846584e+02 
       6.990809498550e-01       9.199151741501e+01 
       7.508737542686e-01       7.843694720273e+01 
       8.191713501328e-01       6.448161093140e+01 
