#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
   0.0319254    -85.3548    -142.074    -41.4248       -28.3     -39.288    -386.597     685.922    -109.875     564.026    -272.612    -375.642    -90.5911     23.9367     7.98546     4.79414     6.17431      3.7068     2.64832     105.065     0.17679   0.0449164
   0.0333831    -87.8877    -145.416    -41.7685    -29.2751     -39.246    -409.549     731.451    -113.677     604.944    -288.927    -399.466    -97.1624     25.1226     8.38063     5.03135     6.47985     3.89021     2.77976     105.038    0.171845   0.0432228
   0.0349073     -90.647    -148.681    -42.3185    -30.2173    -39.3353    -433.196     779.809    -117.353     648.646    -306.119    -424.712    -104.371     26.3374     8.78581     5.27511     6.79314     4.07862     2.91556     105.028    0.176903   0.0467138
   0.0365011    -92.5584    -151.222    -42.4685     -31.131    -39.0567    -458.411     832.705    -120.921     697.617    -325.298    -453.688    -113.041      27.592     9.20333     5.52579     7.11595     4.27321      3.0539     105.041    0.201826   0.0526428
   0.0381677     -94.356     -153.43    -42.4892    -32.0188    -38.7008    -484.715     887.012    -124.393     747.885    -345.231    -483.878    -122.732      28.859     9.62383      5.7774     7.44109     4.46704     3.19126     105.037    0.209363   0.0530429
   0.0399104    -96.3479    -155.723    -42.5613    -32.8953    -38.2635    -511.632     942.217    -127.819     798.192    -364.934     -514.33     -132.02      30.146     10.0523     6.03442     7.77238     4.66582     3.33331     105.008    0.206908   0.0523955
   0.0417327    -98.3642    -157.999     -42.385    -33.7918    -37.5589    -539.791     1001.13     -131.32     852.942    -386.348    -547.537    -142.423     31.5222     10.5119     6.31114     8.12776     4.87968     3.48725     105.004     0.22188   0.0592048
   0.0436381    -100.218     -160.51    -42.0614    -34.7294    -36.6968    -569.157     1063.67    -134.985     911.344    -409.093    -582.985    -154.313     33.0061     11.0052     6.60695     8.50917     5.10932     3.65132     105.017    0.249222    0.064549
   0.0456306    -102.401    -163.618     -41.567    -35.7181    -35.6752    -599.726        1126    -138.866     969.507    -431.443    -617.826    -165.631     34.5765     11.5239     6.91711     8.91022     5.34832      3.8217     104.992    0.247482   0.0637393
    0.047714    -104.917    -167.485    -40.9275    -36.7893    -34.4557    -632.373     1193.54    -143.063     1032.95    -455.591     -656.21    -178.551     36.3034     12.1003      7.2638     9.35592     5.61632     4.01347     104.979     0.26832   0.0711731
   0.0498925    -107.931    -172.541    -39.9653    -37.9618    -32.8902    -667.747     1263.96     -147.66     1099.56    -480.812    -696.769     -192.28     38.2264      12.739     7.64746     9.84958     5.91298     4.22518     104.994    0.302734   0.0784781
   0.0521706    -111.254     -178.89    -38.6054    -39.2345    -30.9111    -704.732     1335.66    -152.673     1167.96    -506.048    -737.042    -206.658     40.3085     13.4278     8.05831     10.3822     6.23065      4.4515     104.963    0.310441   0.0800826
   0.0545526    -114.986    -186.727    -37.0363     -40.621    -28.5831    -744.294      1412.6    -158.134     1241.84    -533.786     -782.06    -222.594     42.6236      14.194     8.51837     10.9749     6.58635     4.70614     104.963    0.339598   0.0885029
   0.0570434     -119.26    -196.127    -35.0564    -42.0983    -25.8061    -787.061     1492.47    -163.971     1319.31    -562.815    -830.462    -239.718     45.1471     15.0269     9.01575     11.6187     6.97094     4.97966     104.965    0.373319   0.0963718
   0.0596479    -123.665    -206.524    -32.5687      -43.63    -22.4534    -832.091     1575.21    -170.035     1400.04    -591.867    -879.145    -258.191     47.8222     15.9093     9.54275      12.301     7.37964     5.27202     104.932       0.389    0.101327
   0.0623713    -128.156    -217.438     -29.515    -45.1674    -18.3961    -879.383     1662.45    -176.147     1485.46     -622.47    -930.849    -277.525     50.6723      16.846     10.1018     13.0254     7.80975     5.57813     104.951    0.439401    0.113722
