#          k           1          b1       b1*b1
       2e-05     6.41265     27.5425     53.2332
      0.0005     142.214      610.81     1180.55
       0.001     273.655     1175.36     2271.68
       0.004     907.715     3898.66     7535.19
       0.007     1323.92     5686.27     10990.2
        0.01        1580     6786.17     13116.1
        0.02      1736.2     7457.06     14412.8
        0.03     1426.83     6128.38     11845.1
        0.04     1099.86     4724.07     9131.09
        0.05     897.593     3855.37     7452.16
        0.06     789.825     3392.57     6557.91
        0.07     704.095      3024.5     5846.95
        0.08      601.13      2582.3     4992.31
        0.09     492.403     2115.12      4088.5
         0.1     406.882     1747.52     3376.81
        0.11     355.517     1526.83     2950.01
        0.12     327.364     1406.22     2718.15
        0.13     303.538     1304.35     2523.11
        0.14     272.792     1172.47     2268.89
        0.15     237.675     1021.35     1975.67
        0.16     207.003     889.196     1718.62
        0.17     185.963     798.776     1543.76
        0.18     172.829     742.849     1437.75
        0.19      162.47      699.07     1356.15
         0.2     150.739     649.129     1261.48
        0.21     137.164     590.729     1148.28
        0.22      124.12     534.375     1038.05
        0.23     113.487     488.564     949.035
        0.24     105.494     454.499     884.474
        0.25     99.1106     427.642     835.078
        0.26       92.98     401.787     787.253
        0.27     86.6491      374.76     735.817
        0.28     80.3516     347.597     682.906
        0.29     74.6122     322.796     634.427
         0.3     69.7153     301.808      594.19
        0.32     61.5949     267.428     530.236
        0.34     54.3578     236.513     471.407
        0.36     48.0068     209.119     418.022
        0.38     42.7023     186.435     374.721
         0.4     38.0873     166.738     336.978
        0.43     32.2606     141.535     287.466
        0.46       27.53     121.134     247.335
         0.5     22.5553     99.5786     204.223
        0.55     17.9503     79.4913     163.346
        0.62     13.7622     60.6324     122.692
         0.7     10.6127     46.4584     92.7357
        0.85     7.10937     30.6888     59.8007
           1     4.98063     21.3954     41.3514
         1.2     3.26274     14.0182     27.0819
         1.5     1.92794     8.27947     15.9948
           2    0.963102     4.14147     8.00704
           4    0.166147    0.714503     1.38372
          10    0.021966   0.0919358    0.164057
