#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
       2e-05     1.85408 -2.71025e-05 1.28886e-07 -6.08499e-05 -2.55007e-07 -0.000146374 0.000275593 -8.94458e-07 0.000145721 -0.000130713 -0.000130796 0.000180854 3.15664e-08 2.81399e-08 2.09307e-08 2.18391e-08 1.62441e-08 1.27544e-08         105 -3.52965e-05 -9.12852e-06
      0.0005     1.85274  -0.0201035 -0.000517604  -0.0379239 -0.00219506  -0.0911399    0.171932 -0.00407661   0.0908185  -0.0814397  -0.0815015   0.0989614 0.000593617 0.000208717 0.000128019 0.000161983  9.9354e-05  7.1826e-05         105   -0.019744  -0.0051062
       0.001     1.84433  -0.0929463 -0.00412567    -0.15136  -0.0163862   -0.367637    0.686572  -0.0299811    0.362501   -0.325432   -0.325813    0.345271  0.00467152  0.00159866 0.000969837   0.0012407 0.000752681 0.000540903     104.999  -0.0529638  -0.0136969
        0.19    -1.47178     2.33508     116.209     16.6226     115.413    -758.003     1761.87    -150.768     1660.69    -422.495    -469.711    -292.666      90.669     29.8843     17.8605     23.1939     13.8614     9.88237     104.299     1.70843    0.446311
         0.2    0.288776     8.61691      117.88     20.9835     118.765    -755.172     1757.64    -147.527      1662.6    -416.897    -463.779    -291.546     92.4553     30.4112     18.1593     23.6018     14.0926     10.0425     104.313     6.30264     1.63453
        0.21     4.20195     24.4731     119.339     24.9367     123.203    -734.935     1749.48     -142.11     1660.16    -410.755    -457.189    -267.071     92.6262     30.4981     18.2214     23.6695     14.1414     10.0803     104.197     2.81142    0.731915
        0.22     8.37763     41.9049     120.348     28.2719     127.265    -708.941     1737.29    -136.192     1653.08    -404.245    -450.168    -235.499      92.235     30.4513     18.2104     23.6323     14.1329     10.0795      104.18     5.36016     1.39107
        0.23     11.2509     53.7501     120.853     31.0736     129.941    -689.153     1722.13    -131.295     1642.49    -397.577    -442.934    -213.831     92.2829     30.5239     18.2686     23.6896     14.1781      10.116     104.134     6.19943     1.60838
        0.24     12.6091     58.7023     120.939     33.5503     131.206    -679.169     1704.76    -127.767     1629.31    -390.727    -435.478    -207.288     93.0948     30.7775      18.417     23.8861     14.2932     10.1971     104.042     4.07267     1.05838
        0.25     13.3157     60.4448     120.844      35.862     131.856    -674.269     1686.59    -124.946     1615.26    -383.828    -427.945    -208.824     94.3136     31.1105     18.5994     24.1449     14.4341     10.2928     104.054     8.28861     2.14862
        0.26     14.3377     63.5877     120.645     38.0238     132.563    -666.723     1667.64    -121.922     1600.34    -376.936    -420.392    -207.221     95.2023      31.342     18.7229     24.3242     14.5313     10.3578     103.951     5.40556     1.40369
        0.27     15.9252     69.6383     120.341     39.9866     133.467        -653      1647.7     -118.35     1584.22    -369.957     -412.73     -197.47      95.525     31.4398      18.778     24.3999     14.5734     10.3873     103.935       7.804      2.0242
        0.28     17.6955     76.9545     119.897     41.6975     134.312    -635.542     1626.96    -114.496     1567.04     -363.25    -405.112    -182.463     95.4277     31.4486      18.794     24.4072      14.586     10.3989     103.894     8.58545     2.22674
        0.29     19.1544     83.1529     119.279     43.1638     134.757    -618.902     1605.31    -110.842     1548.64    -356.455    -397.753    -168.707      95.309     31.4572     18.8099     24.4136     14.5982     10.4107     103.819     7.11604     1.84705
         0.3     20.1806     86.9862      118.51     44.4413     134.758    -605.661     1582.94    -107.639     1529.32    -349.548    -390.256    -160.007     95.4451     31.5174     18.8492     24.4599     14.6287     10.4334     103.825     10.6407     2.75943
        0.32     21.6938      91.973     116.733     46.5815     134.159    -584.594     1537.93    -102.066     1489.91     -335.72     -375.07    -151.171     96.0056      31.646      18.914     24.5596     14.6784     10.4656     103.727     10.5928     2.74875
        0.34     23.2674     97.6799     114.722     48.2288     133.278    -560.329     1492.66    -96.5479     1449.69    -322.624    -360.633    -137.943     96.0678     31.6582     18.9196     24.5696     14.6835     10.4684     103.634     10.4758     2.72006
        0.36       24.45     102.299       112.5     49.4173     131.895    -536.032     1447.51    -91.3008     1408.98    -310.015      -346.7    -123.685     95.8753     31.6315     18.9112     24.5489     14.6769     10.4656     103.578     12.2369     3.17822
        0.38     25.3249     105.237     110.144     50.2498     130.145    -514.604     1402.93     -86.629     1368.36    -297.983    -333.383     -114.05     95.8056     31.5994     18.8906      24.524      14.661     10.4541     103.546     15.2029      3.9479
         0.4     26.1088     107.846     107.714     50.7894     128.226    -493.762     1359.38    -82.2599     1328.35    -286.509     -320.66    -104.753     95.6123     31.5262     18.8443     24.4669     14.6249     10.4277     103.507     17.3529      4.5066
        0.43     26.8447     110.291      103.97     51.1433     124.931    -463.931     1296.07    -76.2279     1269.67    -270.318     -302.68    -91.3453     95.1271     31.3818     18.7606     24.3551       14.56     10.3821     103.435     19.2579     5.00402
        0.46     27.3293     111.632     100.208     51.0779     121.406    -436.687     1235.61    -70.8522     1213.12    -255.285    -285.963     -80.442     94.5797     31.1997     18.6517     24.2138     14.4753     10.3217     103.367      20.852     5.42131
         0.5     27.5818     112.001     95.2612     50.5197     116.485    -403.363     1159.77    -64.4919     1141.55    -236.921    -265.516    -67.6687     93.7184     30.9236     18.4877     23.9995     14.3482     10.2312     103.346      26.535     6.90019
        0.55     27.4677     110.788      89.312      49.306     110.256    -366.683     1072.71    -57.6771      1058.7     -216.43    -242.669      -55.02     92.5326     30.5371     18.2578     23.6996     14.1697     10.1043     103.314      32.456     8.44526
        0.62     26.8321     107.312     81.5737     47.0651     101.795    -322.865     964.521    -49.8058     954.934    -191.733    -215.096    -41.5009     90.7278     29.9432     17.9026     23.2389      13.894      9.9068     103.236     37.9919     9.89621
         0.7     25.7019     101.936     73.6454     44.1738     92.7914    -281.485      858.26    -42.6249     852.236    -168.198    -188.791    -30.1584     88.6072     29.2469     17.4874     22.6983     13.5718     9.67824     103.242     50.1093     13.0546
        0.85     23.2493     90.8562     61.2619     38.7196     78.2351    -222.249     699.276    -32.7656     697.266    -134.173     -150.71     -16.493     84.6516     27.9383      16.703     21.6826      12.963     9.24321     103.236      74.044     19.2928
           1     20.8425     80.3106     51.5717     33.8025     66.4984     -179.59     579.703    -25.9601     579.824    -109.436    -122.987    -8.47556     80.9035     26.7012     15.9631     20.7226     12.3888     8.83356     103.237     102.757     26.7724
         1.2     18.0247     68.1662     41.7398     28.3256     54.3361    -139.185     462.032    -19.7341     463.561     -85.773    -96.4452    -2.38756     76.3522     25.1985     15.0644     19.5564     11.6913     8.33607     103.236     148.063     38.5813
         1.5      14.672     53.8814     31.4555     22.1196     41.3521    -99.9979     342.489    -13.8754     344.767    -62.3953    -70.1965     1.70563     70.5141     23.2709     13.9115     18.0603     10.7966     7.69795     103.237     231.744     60.3865
           2     10.8484      37.731     21.0189     15.3364     27.9139    -63.4762     224.896    -8.56233     227.186    -40.1033    -45.1421     3.54156     62.8339     20.7331     12.3934     16.0908     9.61844     6.85757     103.236     411.629     107.195
           4      5.0743     13.5655     6.94072     5.39404     9.39097    -18.7827     71.7279    -2.39509     72.9399    -12.2568    -13.8102     2.73156     45.1674     14.9012     8.90643     11.5647      6.9122     4.92779     103.237      1656.1     432.292
          10     1.22803     1.55899    0.776123    0.609998     1.05648    -2.06723     8.08216   -0.259376     8.23289    -1.36923     -1.5428    0.403214     14.7701     4.66808     2.74157     3.62285     2.12771     1.50279     54.0402     4547.85     1069.73
