#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
     0.027562     0.102501      0.11325  2.93015e+06  3.87599e+07  1.36728e+07  1.73332e+07  7.53062e+06  1.39879e+08  1.45005e+08   1.8784e+08  1.88873e+08  3.29904e+08  4.26832e+08      48176.7
     0.027562      0.11325      0.11325  1.54158e+06   3.3786e+07  9.68877e+06  1.27267e+07  7.42141e+06  1.44708e+08  1.27656e+08  1.73722e+08  2.08933e+08  2.91401e+08  3.96627e+08      48176.7
     0.027562      0.11325     0.124006  2.61062e+06  3.44581e+07  1.19503e+07  1.52065e+07  7.35303e+06  1.24903e+08  1.27923e+08  1.65961e+08  1.69647e+08  2.91553e+08  3.77739e+08      48176.7
     0.027562     0.124006     0.124006  1.43482e+06  3.11253e+07   8.6364e+06  1.13872e+07  7.28465e+06  1.31921e+08  1.15298e+08  1.57295e+08  1.89103e+08   2.6309e+08  3.59006e+08      48176.7
     0.027562     0.124006     0.134761  2.35796e+06   3.0653e+07  1.05473e+07  1.34709e+07  7.19987e+06  1.09252e+08  1.13764e+08  1.47914e+08  1.45162e+08  2.58598e+08   3.3582e+08      48176.7
     0.027562     0.134761     0.134761  1.28654e+06  2.76825e+07  7.43658e+06  9.84842e+06  7.11508e+06  1.15791e+08  1.00544e+08  1.37527e+08  1.63447e+08  2.28621e+08  3.12882e+08      48176.7
     0.027562     0.134761     0.145531  2.04454e+06  2.58882e+07  8.90074e+06  1.14193e+07  7.01402e+06  8.99628e+07  9.68637e+07  1.26263e+08  1.15401e+08   2.1934e+08  2.85609e+08      48176.7
     0.027562     0.145531     0.145531  1.09026e+06  2.31593e+07  6.03324e+06  8.04129e+06  6.91296e+06   9.5683e+07  8.30651e+07  1.13984e+08  1.32678e+08  1.88395e+08  2.58697e+08      48176.7
      0.03818      0.03818      0.03818   1.8799e+06  8.97631e+07  6.01017e+07  7.70536e+07  1.13003e+07   5.9514e+08  6.11182e+08  7.79899e+08  1.07403e+09  1.38828e+09  1.76696e+09      48176.7
      0.03818      0.03818     0.048836   2.9535e+06  8.81013e+07   5.0157e+07  6.29766e+07  1.02483e+07  4.86972e+08  4.98056e+08  6.33895e+08  8.17301e+08  1.13193e+09  1.43798e+09      48176.7
      0.03818      0.03818     0.059539  7.96907e+06  1.10462e+08  5.39001e+07   6.4259e+07  9.77763e+06  4.16025e+08  4.63567e+08  5.69759e+08  5.99024e+08  1.05178e+09  1.29082e+09      48176.7
      0.03818     0.048836     0.048836  1.62858e+06  6.41834e+07  3.88421e+07   4.9374e+07  9.19637e+06  3.93887e+08  3.97152e+08  5.08351e+08  6.90711e+08  9.04191e+08  1.15495e+09      48176.7
      0.03818     0.048836     0.059539  2.85335e+06  6.93847e+07  3.64984e+07  4.52207e+07  8.72567e+06  3.49057e+08  3.56345e+08  4.52365e+08  5.67936e+08  8.11282e+08  1.02831e+09      48176.7
      0.03818     0.048836     0.070261  6.83532e+06  8.48102e+07  4.08074e+07  4.82231e+07  8.36247e+06   2.9884e+08  3.38323e+08  4.11448e+08  4.17222e+08  7.66333e+08   9.3065e+08      48176.7
      0.03818     0.059539     0.059539  1.68105e+06  5.59997e+07  3.01191e+07  3.78716e+07  8.25498e+06  3.15567e+08  3.10916e+08  4.00049e+08  5.37973e+08   7.0896e+08  9.10855e+08      48176.7
      0.03818     0.059539     0.070261  2.80064e+06  6.01876e+07  2.89777e+07    3.569e+07  7.89178e+06  2.81083e+08  2.83662e+08   3.6115e+08  4.43443e+08  6.44927e+08  8.20239e+08      48176.7
      0.03818     0.059539        0.081  5.89922e+06  6.75697e+07  3.14186e+07  3.72033e+07   7.4777e+06  2.23589e+08  2.61011e+08  3.17789e+08  2.95801e+08   5.8958e+08  7.16988e+08      48176.7
      0.03818     0.070261     0.070261  1.65191e+06  4.94715e+07  2.38934e+07  2.98714e+07  7.52857e+06  2.59964e+08  2.49983e+08  3.23735e+08   4.3043e+08   5.6798e+08  7.35057e+08      48176.7
      0.03818     0.070261        0.081  2.55708e+06  5.01436e+07   2.2003e+07  2.71435e+07   7.1145e+06  2.19277e+08  2.19869e+08  2.82021e+08  3.32341e+08  4.97561e+08     6.38e+08      48176.7
      0.03818     0.070261     0.091757  4.86679e+06  5.22373e+07  2.36925e+07   2.8247e+07  6.74586e+06  1.62847e+08  2.00226e+08  2.45046e+08  2.01139e+08  4.51247e+08  5.51638e+08      48176.7
      0.03818        0.081        0.081  1.43517e+06  3.95929e+07  1.71573e+07  2.15193e+07  6.70042e+06   1.9648e+08  1.85339e+08  2.42393e+08  3.14119e+08  4.18925e+08  5.48006e+08      48176.7
      0.03818        0.081     0.091757  2.11257e+06  3.85191e+07  1.54652e+07  1.92359e+07  6.33178e+06  1.59954e+08  1.60124e+08  2.07336e+08  2.32782e+08  3.61348e+08  4.67935e+08      48176.7
      0.03818        0.081     0.102501  3.77574e+06  3.90536e+07  1.76861e+07  2.12176e+07   6.1035e+06  1.18903e+08  1.51445e+08  1.85902e+08  1.42775e+08  3.41335e+08  4.18386e+08      48176.7
      0.03818     0.091757     0.091757  1.15745e+06  2.97405e+07  1.15976e+07  1.46981e+07  5.96314e+06  1.41289e+08  1.31598e+08  1.74083e+08  2.18614e+08   2.9727e+08  3.93463e+08      48176.7
