#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
        0.22    -33.9811     100.685      88.845    0.123823     115.251     80.7421    -2.21054  -0.0366499     -3.4495   -0.819665    -1.46973   -0.635285    0.010321   -0.371366     19.3417   -0.289405     15.0729     20.6856   0.0659009 -0.00556203   -0.013107
        0.23    -27.5627     103.221     88.7748  -0.0352864     115.057     78.9015    -1.63961  0.00102433    -2.80858   -0.975531     -1.7619   -0.764286  -0.0162932   -0.249403     19.4673    -0.19437     15.1707     20.7754    0.072477  -0.0469771   -0.025438
        0.24    -22.8659     107.766     88.6007   0.0063499     114.738     79.3744   -0.766129  -0.0381208    -1.85751    -1.25377    -2.30108    -1.02535   0.0125392   -0.305979     19.5845   -0.238426      15.262     20.9204   0.0834219     0.18816   0.0340413
        0.25    -18.6681     114.022     88.2465    0.150602     114.193     81.3281   -0.458465    -0.12842    -1.50228    -1.29734    -2.37977    -1.05401   0.0815151   -0.465091     19.6669   -0.362459     15.3263     21.0656   0.0849402   -0.147299  -0.0547013
        0.26    -14.2677     119.421     87.6972    0.240768     113.403      82.118    0.378689    -0.19402   -0.633507    -1.60675    -2.96967    -1.33518    0.141247   -0.574953     19.7246   -0.448069     15.3712     21.1667   0.0967297     0.17328   0.0269173
        0.27    -9.91724     121.813     87.0248    0.203121     112.455     81.2368    0.768359   -0.182583   -0.228108    -1.70579      -3.146    -1.41599    0.139926   -0.555336     19.7872   -0.432769       15.42     21.2264    0.100088 -0.000380124  -0.0197951
        0.28     -6.0842     121.498     86.3184   0.0831998     111.465     79.0656     1.27155   -0.109445   0.0530502     -1.8645    -3.46704    -1.56714   0.0854812   -0.442385     19.8672   -0.344717     15.4823     21.2705    0.105473  -0.0145965  -0.0250818
        0.29    -2.81283     120.876     85.6191  -0.0209225     110.489     77.0104     1.92718  -0.0424796     1.01813    -2.08075    -3.89706    -1.77952     0.03164   -0.339513     19.9447    -0.26458     15.5427     21.3154    0.113527    0.176302   0.0230796
         0.3    0.309065     121.857      84.909  -0.0506281     109.505     76.1654     2.13474  -0.0366662     1.39798     -2.0919    -3.91481    -1.78813   0.0259993   -0.317049     19.9897   -0.247074     15.5778     21.3552    0.113581  -0.0833589  -0.0454677
        0.32     6.61229     127.535     83.3076   0.0130294     107.316     75.7419     3.03073   -0.146207     2.31283    -2.35252    -4.42921    -2.04506    0.133333   -0.412681     19.9858   -0.321598     15.5747     21.3867    0.121643   0.0400642  -0.0155882
        0.34     11.6862     129.091     81.5002  -0.0120388     104.875     73.9328     3.65364   -0.138643     3.04937    -2.50087    -4.73002    -2.19051    0.134318   -0.394757     19.9955   -0.307667     15.5823     21.3907    0.126004    0.148953   0.0108169
        0.36     15.3481      127.94     79.6648  -0.0729764     102.411      71.818      3.9696  -0.0651597     3.46305    -2.51934     -4.7588      -2.207   0.0601225   -0.323862     20.0215   -0.252349     15.6026     21.3919    0.124651     0.12249  0.00261386
        0.38     19.0331     128.843     77.7982  -0.0753379     99.9226     70.3094      3.9641  -0.0949159     3.52452    -2.40545    -4.55412    -2.11872   0.0923404   -0.329861     19.9834   -0.257002     15.5729     21.3542    0.119213   0.0478541  -0.0178124
         0.4     22.2309     129.062     75.8838  -0.0817454     97.3828     68.6747      3.8556   -0.114851     3.48256    -2.25661    -4.27141    -1.98067     0.11481   -0.326048      19.929     -0.2541     15.5305     21.2953    0.111673   0.0226698  -0.0254802
        0.43     25.6721     127.359     73.0241   -0.105843     93.5947     66.4983     3.39034   -0.073735     3.10032    -1.90131    -3.58194    -1.65164   0.0599485   -0.292953     19.8513   -0.228296       15.47     21.2002   0.0968537   0.0210533  -0.0274516
        0.46     28.5871     125.894      70.209   -0.114239     89.8761     64.1729     2.85614  -0.0855973      2.6399    -1.53206    -2.85402    -1.29777   0.0702822    -0.28039     19.7337   -0.218505     15.3783     21.0709   0.0811821    0.143681  0.00383682
         0.5     31.1963     122.562     66.5636    -0.12852     85.1105     61.5551     1.47559  -0.0718806     1.34945   -0.721593    -1.26051    -0.51573   0.0386555   -0.252194      19.565   -0.196532     15.2468      20.881   0.0497373   -0.311084   -0.111037
        0.55      33.333     118.143     62.2495   -0.134839      79.483     58.8047   -0.763586  -0.0659443   -0.805828    0.517318     1.19315    0.695449   0.0144809   -0.232202     19.3193   -0.180953     15.0554     20.6125  0.00320528    -1.61479   -0.443347
        0.62     34.7472     111.413      56.717   -0.136345     72.2869     51.1681     4.58017  -0.0623898     4.62426    -2.00387    -3.85137    -1.82637   0.0354943   -0.194544     18.9556   -0.151606     14.7719      20.213    0.090721     5.14073     1.31624
         0.7      34.857      103.33     51.1006   -0.135136     65.0159     48.0014     0.59878  -0.0557223    0.707563   0.0902516    0.326367     0.25441  0.00920452   -0.171652     18.5148   -0.133767     14.4284      19.736   0.0146874    0.950908     0.23812
        0.85     33.1619     89.3896     42.4112   -0.123836     53.8229     40.4496   -0.303102  -0.0480834   -0.131687    0.661892     1.45938    0.815658  0.00657568   -0.139458     17.6863   -0.108678      13.783     18.8444 -0.00809483   -0.457138   -0.124405
           1     30.5064     77.4236     35.6533   -0.110865     45.1546     33.8113    0.389539  -0.0416163    0.586849    0.352826      0.8289      0.4927   0.0126147   -0.116392     16.8995  -0.0906998     13.1696     18.0001 0.000806461   0.0538795  0.00970261
         1.2     26.7935     64.4516     28.8362  -0.0952922     36.4447      27.366    0.469307   -0.034585     0.67557    0.315181    0.739225    0.438884   0.0146907  -0.0919301     15.9468  -0.0715685     12.4272      16.979 9.41758e-05  0.00565082  0.00673947
         1.5     21.8698     50.0437     21.7297  -0.0754849     27.3991     20.6393    0.520167  -0.0265077    0.716058    0.246358    0.581261    0.347076   0.0169968  -0.0689965     14.7222  -0.0537683     11.4729     15.6695 8.83503e-06 -0.00741675  -0.0032117
           2     15.7844     34.4386     14.4851  -0.0476468     18.2146     13.7971    0.421562  -0.0182594    0.564459    0.169685      0.4046    0.244126   0.0183184  -0.0495735     13.1092  -0.0386304     10.2159     13.9486 9.20411e-05  0.00497288   -0.115892
           4     5.92769     11.9758     4.75742  -0.0145113      5.9514     4.54837    0.180434 -0.00643599    0.236165   0.0636488    0.152937   0.0929706   0.0181669  -0.0159921     9.40948  -0.0124625     7.33272     10.0051 9.65443e-05    0.190965     1.38433
          10    0.753739      1.5499    0.675719  -0.0117713    0.844848    -31.3151     64.0543 -0.00376681     64.1023    -31.8935    -63.7668    -31.8703    0.280645    0.377947     3.29905     0.29453     2.57092     3.37665     1.13062     121.195    -14.8538
