     3.83849      48.4612      103.957     -16.1347      132.746     -2544.81      5450.67     -62.1131       5435.2     -2385.72     -4568.28     -2154.66 
     6.12127      50.0199       98.643     -14.4061      125.505     -2590.58      5524.02     -55.4584      5512.45     -2446.26     -4707.65     -2235.83 
     8.48819      51.4677      91.2878     -12.3992      115.672     -2641.16      5603.19     -47.7326       5595.7     -2515.82     -4868.49     -2329.92 
     10.0195      51.1706       83.371     -10.5777      105.264     -2687.13       5669.9     -40.7204       5665.6     -2579.38     -5016.24     -2416.93 
     11.0576      48.0177      70.4099      -8.0913      88.4456     -2749.96      5752.99     -31.1487      5752.27     -2666.75      -5220.5     -2537.84 
     10.9688      43.7938      59.8942     -6.38562      74.9642     -2793.27      5804.16     -24.5825      5805.23     -2727.34     -5363.03      -2622.7 
     10.2412      38.3193      48.9342     -4.83297       61.028     -2832.86      5845.92     -18.6053      5848.06     -2783.04     -5494.63     -2701.42 
     8.74933      31.0072      37.2163     -3.38148      46.2486     -2870.87      5880.44     -13.0176      5883.06     -2836.07     -5620.49     -2777.03 
     6.54989      22.1234      25.1647     -2.08204      31.1482     -2906.03      5906.64     -8.01514      5909.09     -2884.41     -5735.77      -2846.6 
     2.60877      8.24739      8.47656    -0.581783      10.4197     -2948.12      5928.84     -2.23966      5930.05     -2942.11     -5874.18     -2930.61 
    0.561926      1.69392      1.58227   -0.0869011      1.93314     -2963.12      5932.47    -0.334539      5932.76     -2962.21     -5922.73     -2960.26 
