#          k           1          b1       b1*b1
      0.0005     171.701 2.98589e-08 2.97403e-08
       0.001     329.809 3.20696e-07 4.26118e-07
       0.004     1087.82 -0.000137451  3.0406e-05
       0.007     1580.51 -0.00226884 2.10122e-05
        0.01     1880.13  -0.0121998 -0.000913933
        0.02      2047.1   -0.198604  -0.0244584
        0.03      1668.8   -0.496135  -0.0317781
        0.04     1278.67   -0.480476   0.0588146
        0.05     1040.71   -0.217762    0.176888
        0.06     914.898   -0.287704     0.12956
        0.07     813.897   -0.672855  -0.0703865
        0.08     692.416   -0.271609  -0.0759675
        0.09      565.51      1.5923    0.334366
         0.1     466.966     3.63141    0.806762
        0.11     408.386     3.67158    0.737787
        0.12      375.72       1.055  -0.0386378
        0.13     347.228     -2.1804   -0.945724
        0.14     311.037    -2.93679    -1.15669
        0.15     270.817    -0.58358   -0.530771
        0.16     236.407     2.10862    0.219085
        0.17     212.528     1.83341    0.288352
        0.18     196.734    -1.99723   -0.432295
        0.19     183.598    -6.88208     -1.3488
         0.2     169.269    -9.31583    -1.71924
        0.21     153.887    -8.15978    -1.35161
        0.22     139.566    -5.78715   -0.708157
        0.23     127.701    -5.07451   -0.295881
        0.24     118.169    -7.12675   -0.275661
        0.25     108.068    -10.7591   -0.438169
        0.26     102.211    -13.4876   -0.472567
        0.27      94.763    -14.0832   -0.262978
        0.28     87.8317    -13.0561    0.103095
        0.29     81.5846    -12.0946    0.490619
         0.3     75.9095    -12.4772     0.85676
        0.32     65.9139    -15.4837     1.54393
        0.34     57.4846    -16.2317     1.98989
        0.36     50.3836    -15.7227      2.1991
        0.38     44.0785    -16.6446     2.45536
         0.4     38.6217    -17.3701     2.39072
        0.43     31.8975    -17.5183     1.50736
        0.46     26.3385    -18.0412    0.372229
         0.5     20.5529    -18.2329    -1.60929
        0.55      15.446    -17.6159    -3.76349
        0.62     12.2409    -11.9685    -4.29572
         0.7     10.0153    -7.29173    -3.34658
        0.85     7.70336    -1.36813   -0.805897
           1     5.64479 -0.00267683  -0.0397219
         1.2     3.70439   0.0256926 -0.00801837
         1.5     2.18551   0.0147541 -0.00460943
           2     1.08827 -0.00382825 -0.00436384
           4    0.183864 -0.00993751 -0.00213321
          10   0.0302356   0.0184334 0.000264105
