#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
      0.0005 -0.00355441   0.0316689  -0.0393249 -0.00114539  -0.0393053     1.17946    -2.66874 -0.00428806    -3.04294     1.48967     3.39687     1.56837 0.000623047 0.000218843 0.000134176 0.000170542 0.000104562 7.55746e-05         105  -0.0206496 -0.00536217
       0.001  -0.0255952    0.100826    -0.15678    -0.00831   -0.156781  -0.0347892    -1.48582  -0.0313128    -1.41026    0.304202    0.989061    0.954426  0.00483083  0.00167109   0.0010136  0.00130226 0.000789892 0.000567591     104.999  -0.0556357  -0.0144463
        0.24    -39.8539    -25.6608     106.271    -32.1076     142.828    -2044.78     4438.45    -124.888     4366.15    -1761.47       -3183    -1377.42     92.0704     30.4325     18.2088     23.7158     14.1899      10.123     104.031     4.03425     1.05286
        0.25    -37.7407    -24.2647     107.945     -31.313      144.43    -2085.13     4510.19    -122.071     4441.95    -1799.93    -3266.36    -1422.94     93.2504     30.7498     18.3814      23.963     14.3244      10.214     104.043     8.32295     2.16706
        0.26    -35.1386    -20.8775     109.404    -30.4719     145.792    -2117.16     4570.95    -119.009     4506.72    -1833.03    -3338.88    -1463.05     94.0633     30.9582     18.4918     24.1254     14.4105     10.2711     103.939     5.37706     1.40206
        0.27    -31.8418    -14.3089     110.593      -29.55     146.844    -2143.98     4632.52    -115.413     4572.08    -1867.06    -3413.29    -1504.14     94.3108     31.0364     18.5377     24.1864     14.4463     10.2964     103.924     7.80705     2.03361
        0.28     -28.421     -6.5896     111.482    -28.6107     147.542    -2164.97     4688.35    -111.581     4631.75    -1898.68    -3482.98    -1542.84     94.1715     31.0347     18.5469     24.1851     14.4534     10.3044     103.884     8.59416     2.23842
        0.29    -25.4873   -0.225149     112.092    -27.7317     147.909    -2184.49     4738.11    -107.987      4684.4    -1927.67    -3547.27    -1578.86      94.043     31.0389       18.56     24.1883     14.4637     10.3148     103.807       7.092     1.84869
         0.3    -23.1297      3.9256     112.488    -26.9364     148.027    -2208.38     4789.05    -104.846      4738.8    -1957.66    -3613.49    -1615.79     94.1761     31.0938     18.5954     24.2312     14.4912     10.3352     103.815     10.6586     2.77587
        0.32    -19.0494     10.1742     112.823    -25.4764     147.751    -2253.59     4875.92    -99.3323      4830.6    -2010.47    -3731.25    -1682.14     94.6805     31.2029     18.6482     24.3161     14.5323     10.3611     103.717     10.5935     2.76048
        0.34    -15.0432     17.3402     112.613    -24.0715     146.866    -2290.29      4952.4    -93.8631     4911.91    -2058.62    -3839.19    -1743.29     94.6725     31.1961      18.643     24.3108     14.5283     10.3579     103.625     10.4651     2.72905
        0.36    -11.7343     23.1489     111.934    -22.7748     145.456    -2323.51     5021.76    -88.7053     4985.47     -2103.6    -3940.27    -1800.75     94.4506      31.158     18.6274     24.2811     14.5162     10.3511     103.568     12.2298     3.18984
        0.38    -8.86412     27.6481     110.915    -21.5896     143.678    -2356.25     5084.54    -84.1108     5052.01    -2145.49    -4034.17     -1854.6     94.3464     31.1138     18.5991     24.2467     14.4941     10.3348     103.538     15.1998     3.96399
         0.4     -6.2162     31.9366     109.622    -20.4807     141.611    -2385.18     5140.15    -79.8098     5110.99    -2183.82     -4121.5    -1904.31     94.1116     31.0282     18.5462       24.18     14.4529      10.305     103.498      17.348     4.52473
        0.43    -3.02127     36.7287     107.298    -18.9718     138.108    -2423.34     5211.98    -73.8933     5187.23    -2235.41    -4238.92    -1971.95     93.5873     30.8705     18.4544     24.0571     14.3813     10.2545     103.428     19.2533     5.02403
        0.46   -0.318961     40.5964     104.665    -17.6183     134.293    -2457.23     5273.26    -68.6244     5252.24    -2281.37    -4344.03    -2032.79     93.0023     30.6756     18.3374     23.9052     14.2902     10.1894     103.362     20.8619     5.44702
         0.5     2.49323      44.224     100.865    -16.0246     128.956     -2498.1     5345.16       -62.4     5328.26    -2336.97    -4471.31    -2106.53     92.0999     30.3861     18.1656     23.6796     14.1563     10.0941     103.341     26.5061     6.92202
        0.55     5.08496     46.9775      95.913    -14.3175     122.168    -2541.41     5417.52    -55.7421     5404.67    -2396.17    -4607.61    -2185.94     90.8723      29.986      17.927     23.3678     13.9703     9.96155     103.309     32.3781     8.46074
        0.62     7.52884     48.7328      89.001    -12.3477     112.889    -2589.97     5493.59    -48.0683     5484.95    -2463.44    -4763.61    -2277.48     89.0299     29.3795     17.5643     22.8952     13.6877     9.75988     103.237     38.1324     9.97457
         0.7     9.13883     48.7278     81.5014    -10.5556     102.991    -2635.99      5561.8     -41.082     5556.51    -2526.86    -4910.81    -2363.98     86.8822     28.6738     17.1428     22.3452     13.3592     9.52578     103.242     50.1271     13.1146
        0.85     10.3649     46.1896     69.1329    -8.09918      86.911    -2698.57     5646.35    -31.5141     5644.85    -2613.97    -5114.31    -2484.35     82.9032     27.3581     16.3553     21.3199     12.7455     9.08778     103.236     74.0602     19.3785
           1     10.4296     42.4312     59.0031    -6.40775     73.9011    -2741.89     5698.89    -24.9269     5699.36    -2674.65    -5256.87    -2569.14     79.1576     26.1215     15.6158     20.3563     12.1692     8.67673     103.237     102.776       26.89
         1.2     9.81798     37.2668     48.3928    -4.86373     60.3929     -2781.7     5742.03    -18.9156     5743.75    -2730.62       -5389    -2648.11     74.6297     24.6266     14.7217     19.1912     11.4725     8.17983     103.237     148.094     38.7514
         1.5     8.48065      30.382     36.9724     -3.4139     45.9696    -2819.85     5777.87    -13.2717     5780.21    -2784.02    -5515.64    -2724.13     68.8407     22.7158     13.5791     17.7022      10.582      7.5448     103.237     231.791     60.6529
           2     6.41632     21.8291     25.0532    -2.09944     31.0219    -2855.43     5805.43    -8.16954     5807.73     -2833.2    -5632.85    -2794.82     61.2606     20.2114      12.081     15.7505     9.41458     6.71207     103.237     411.706     107.666
           4     2.58216     8.19709     8.47494   -0.586128     10.4194    -2898.15     5829.01    -2.27222      5830.2    -2891.97    -5773.78    -2880.32     43.9025      14.482     8.65544     11.2857     6.74509     4.80854     103.237     1656.49     434.223
          10    0.302657    0.966585    0.945502  -0.0633173     1.16304    -1524.03     3051.86   -0.246031        3052     -1523.4    -3045.67     -1522.1     14.3083     4.52082      2.6548     3.52303     2.06886     1.46114      54.024     4543.19     1072.35
