#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
      0.0005  -0.0035544   0.0316689  -0.0393248  -0.0011454  -0.0393053     1.17945    -2.66874 -0.00428805    -3.04294     1.48967     3.39688     1.56837 0.000623049 0.000218843 0.000134176 0.000170542 0.000104562 7.55745e-05         105  -0.0206496 -0.00536217
       0.001  -0.0255952    0.100826   -0.156781 -0.00830999    -0.15678  -0.0347893    -1.48581  -0.0313128    -1.41026    0.304202    0.989061    0.954426  0.00483085  0.00167109   0.0010136  0.00130226 0.000789892  0.00056759     104.999  -0.0556357  -0.0144463
        0.23    -42.7344    -29.9349     104.382    -33.0147     140.982    -2010.11     4368.06    -128.342     4291.58    -1724.22    -3102.12    -1333.12     91.2489     30.1819     18.0636     23.5205     14.0768     10.0437     104.124     6.21423     1.61897
        0.24    -39.8539    -25.6608     106.271    -32.1076     142.829    -2044.78     4438.46    -124.888     4366.15    -1761.47       -3183    -1377.42     92.0705     30.4325     18.2088     23.7158       14.19      10.123     104.031     4.03428     1.05287
        0.25    -37.7406    -24.2647     107.944     -31.313      144.43    -2085.13     4510.18    -122.071     4441.94    -1799.93    -3266.36    -1422.94     93.2502     30.7497     18.3813     23.9629     14.3244      10.214     104.043     8.32296     2.16708
        0.26    -35.1387    -20.8776     109.404     -30.472     145.792    -2117.16     4570.96    -119.009     4506.73    -1833.04    -3338.89    -1463.05     94.0635     30.9582     18.4919     24.1254     14.4105     10.2712      103.94      5.3771     1.40206
        0.27    -31.8418    -14.3089     110.593    -29.5499     146.844    -2143.98     4632.51    -115.413     4572.07    -1867.06    -3413.28    -1504.13     94.3106     31.0363     18.5377     24.1863     14.4462     10.2964     103.924     7.80706     2.03361
        0.28    -28.4209    -6.58962     111.481    -28.6107     147.542    -2164.96     4688.34    -111.581     4631.74    -1898.68    -3482.97    -1542.84     94.1714     31.0347     18.5469      24.185     14.4534     10.3044     103.884     8.59417     2.23842
        0.29    -25.4874   -0.225096     112.092    -27.7318     147.909     -2184.5     4738.12    -107.987     4684.41    -1927.67    -3547.29    -1578.86     94.0433      31.039       18.56     24.1884     14.4638     10.3148     103.807     7.09204     1.84871
         0.3    -23.1297     3.92557     112.488    -26.9363     148.027    -2208.38     4789.05    -104.846     4738.79    -1957.66    -3613.48    -1615.78      94.176     31.0938     18.5954     24.2311     14.4912     10.3352     103.814     10.6586     2.77587
        0.32    -19.0495     10.1742     112.823    -25.4764     147.752     -2253.6     4875.92    -99.3323      4830.6    -2010.48    -3731.25    -1682.14     94.6806     31.2029     18.6482     24.3161     14.5324     10.3611     103.717     10.5936     2.76048
        0.34    -15.0431     17.3402     112.613    -24.0715     146.865    -2290.28      4952.4     -93.863      4911.9    -2058.61    -3839.19    -1743.29     94.6724      31.196      18.643     24.3108     14.5283     10.3579     103.624      10.465     2.72905
        0.36    -11.7342      23.149     111.934    -22.7748     145.457    -2323.51     5021.76    -88.7052     4985.47     -2103.6    -3940.27    -1800.75     94.4506      31.158     18.6274     24.2811     14.5162     10.3511     103.568     12.2298     3.18984
        0.38     -8.8641     27.6481     110.915    -21.5896     143.678    -2356.25     5084.54    -84.1107        5052    -2145.49    -4034.16     -1854.6     94.3462     31.1138      18.599     24.2467     14.4941     10.3348     103.537     15.1998     3.96399
         0.4    -6.21621     31.9368     109.623    -20.4808     141.611    -2385.19     5140.16    -79.8101     5111.01    -2183.83    -4121.51    -1904.31     94.1119     31.0283     18.5463     24.1801     14.4529     10.3051     103.499      17.348     4.52475
        0.43    -3.02127     36.7288     107.299    -18.9718     138.108    -2423.35     5211.99    -73.8935     5187.24    -2235.42    -4238.93    -1971.95     93.5875     30.8706     18.4545     24.0571     14.3814     10.2545     103.428     19.2533     5.02404
        0.46   -0.318954     40.5965     104.665    -17.6183     134.293    -2457.23     5273.26    -68.6245     5252.24    -2281.38    -4344.04    -2032.79     93.0024     30.6756     18.3374     23.9052     14.2902     10.1894     103.362      20.862     5.44703
         0.5     2.49321     44.2238     100.865    -16.0245     128.956     -2498.1     5345.16       -62.4     5328.25    -2336.97     -4471.3    -2106.53     92.0998      30.386     18.1656     23.6795     14.1563     10.0941     103.341      26.506     6.92201
        0.55     5.08498     46.9777     95.9132    -14.3175     122.168    -2541.41     5417.52     -55.742     5404.68    -2396.17    -4607.61    -2185.94     90.8724      29.986      17.927     23.3678     13.9704     9.96157     103.309     32.3781     8.46074
        0.62     7.52882     48.7328     89.0009    -12.3477     112.889    -2589.98      5493.6    -48.0683     5484.95    -2463.44    -4763.61    -2277.48       89.03     29.3795     17.5643     22.8952     13.6877     9.75987     103.237     38.1324     9.97456
         0.7     9.13886     48.7278     81.5014    -10.5556     102.991       -2636      5561.8    -41.0821     5556.52    -2526.86    -4910.82    -2363.99     86.8823     28.6738     17.1428     22.3452     13.3592     9.52578     103.242     50.1272     13.1146
        0.85     10.3649     46.1895     69.1328    -8.09916     86.9108    -2698.57     5646.35    -31.5141     5644.85    -2613.97     -5114.3    -2484.35     82.9031      27.358     16.3553     21.3199     12.7455     9.08776     103.236     74.0602     19.3785
           1     10.4296     42.4313     59.0032    -6.40776     73.9011    -2741.89      5698.9    -24.9269     5699.37    -2674.66    -5256.88    -2569.14     79.1577     26.1216     15.6158     20.3563     12.1692     8.67674     103.237     102.776       26.89
         1.2     9.81801     37.2671      48.393    -4.86374     60.3931    -2781.69        5742    -18.9154     5743.72    -2730.61    -5388.98    -2648.09     74.6293     24.6267     14.7217     19.1913     11.4725     8.17986     103.236     148.093     38.7515
         1.5     8.48061     30.3819     36.9723    -3.41389     45.9695    -2819.84     5777.84    -13.2717     5780.19    -2784.01    -5515.62    -2724.12     68.8406     22.7157     13.5791     17.7022      10.582     7.54477     103.236      231.79     60.6527
           2     6.41629      21.829      25.053    -2.09944     31.0218    -2855.43     5805.42    -8.16953     5807.72     -2833.2    -5632.84    -2794.82     61.2605     20.2113     12.0809     15.7504     9.41454     6.71204     103.236     411.706     107.666
           4     2.58216     8.19709     8.47493   -0.586128     10.4194    -2898.15     5829.01    -2.27223     5830.19    -2891.97    -5773.77    -2880.32     43.9024      14.482     8.65543     11.2857     6.74509     4.80854     103.237     1656.49     434.223
          10     0.30266    0.966601    0.945523  -0.0633181     1.16305    -1524.03     3051.86   -0.246016     3051.99     -1523.4    -3045.67     -1522.1     14.3083     4.52082      2.6548     3.52303     2.06886     1.46114     54.0238      4543.2     1072.35
